ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1983,0,0,0,0,0,0,0,0,0,0
10001,2,1,1983,0,0,0,0,0,0,0,0,0,0
10002,1,1,1983,10,8,0,20,9,24,18,0,20,7
10002,2,1,1983,0,0,0,0,0,0,0,0,0,0
10003,1,1,1983,0,0,0,0,0,0,7,0,0,0
10004,1,1,1983,1,1,1,1,1,1,1,1,1,1
10005,0,1,1983,24,0,17,8,15,38,16,22,4,18
10005,1,1,1983,0,24,0,0,0,0,0,0,0,0
10006,1,1,1983,0,0,0,0,0,0,0,0,0,0
10006,2,1,1983,0,0,0,0,12,0,0,0,0,0
10007,1,1,1983,26,26,26,26,26,26,26,26,26,26
10007,2,1,1983,0,0,0,7,0,20,16,0,17,10
10008,1,1,1983,21,6,23,11,26,26,2,3,9,3
10008,2,1,1983,0,0,0,0,0,0,0,0,0,0
10009,1,1,1983,0,0,0,0,0,0,0,0,0,9
10009,2,1,1983,0,0,0,0,0,0,0,0,0,0
10010,1,1,1983,16,0,25,13,0,16,30,20,13,0
10011,1,1,1983,0,0,0,0,0,0,0,0,0,0
10011,2,1,1983,0,14,0,0,0,0,0,0,0,0
10012,1,1,1983,0,0,0,0,0,0,0,0,0,0
10012,2,1,1983,0,0,0,0,0,0,0,0,0,0
10013,1,1,1983,0,0,0,0,0,0,0,0,0,0
10013,2,1,1983,0,0,0,0,0,0,0,0,0,0
10014,1,1,1983,23,23,23,23,23,23,23,23,23,23
10015,1,1,1983,9,18,2,4,13,3,7,9,17,0
10016,1,1,1983,14,14,14,14,14,14,14,14,14,14
10017,1,1,1983,5,21,19,22,17,21,20,20,29,24
10018,1,1,1983,28,28,28,28,28,28,28,28,28,28
10019,1,1,1983,19,19,19,19,19,19,19,19,19,19
10019,2,1,1983,0,0,0,0,0,0,0,0,0,0
10020,1,1,1983,0,25,10,8,11,0,38,14,9,9
10021,1,1,1983,0,0,0,0,0,0,0,0,0,0
10021,2,1,1983,0,0,0,0,0,0,0,0,0,0
10022,1,1,1983,33,18,14,14,0,29,26,26,15,17
10023,1,1,1983,33,21,28,32,24,18,18,14,12,27
10023,2,1,1983,18,0,5,30,10,16,17,23,9,27
10024,1,1,1983,16,19,16,21,29,10,13,50,7,19
10025,1,1,1983,26,26,26,26,26,26,26,26,26,26
10026,1,1,1983,0,0,0,0,0,0,0,0,0,0
10026,2,1,1983,0,8,0,0,0,0,28,0,0,0
10027,1,1,1983,21,12,24,36,21,26,19,21,12,37
