ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1983,0,0,0,0,0,0,0,0,0,0
10002,1983,10,8,0,20,9,24,18,0,20,7
10003,1983,0,0,0,0,0,0,7,0,0,0
10004,1983,1,1,1,1,1,1,1,1,1,1
10005,1983,0,24,0,0,0,0,0,0,0,0
10006,1983,0,0,0,0,12,0,0,0,0,0
10007,1983,26,26,26,26,26,26,26,26,26,26
10008,1983,21,6,23,11,26,26,2,3,9,3
10009,1983,0,0,0,0,0,0,0,0,0,9
10010,1983,16,0,25,13,0,16,30,20,13,0
10011,1983,0,14,0,0,0,0,0,0,0,0
10012,1983,0,0,0,0,0,0,0,0,0,0
10013,1983,0,0,0,0,0,0,0,0,0,0
10014,1983,23,23,23,23,23,23,23,23,23,23
10015,1983,9,18,2,4,13,3,7,9,17,0
10016,1983,14,14,14,14,14,14,14,14,14,14
10017,1983,5,21,19,22,17,21,20,20,29,24
10018,1983,28,28,28,28,28,28,28,28,28,28
10019,1983,19,19,19,19,19,19,19,19,19,19
10020,1983,0,25,10,8,11,0,38,14,9,9
10021,1983,0,0,0,0,0,0,0,0,0,0
10022,1983,33,18,14,14,0,29,26,26,15,17
10023,1983,33,21,28,32,24,18,18,23,12,27
10024,1983,16,19,16,21,29,10,13,50,7,19
10025,1983,26,26,26,26,26,26,26,26,26,26
10026,1983,0,8,0,0,0,0,28,0,0,0
10027,1983,21,12,24,36,21,26,19,21,12,37
10028,1983,3,3,3,3,3,3,3,3,3,3
10029,1983,0,0,0,0,0,0,0,0,0,0
10030,1983,16,14,0,14,19,4,10,5,20,18
10031,1983,0,0,15,0,14,0,0,0,33,26
10032,1983,0,8,13,0,8,8,2,26,13,26
10033,1983,0,0,0,0,0,0,0,0,0,0
10034,1983,18,20,18,27,30,17,26,37,14,19
10035,1983,0,0,0,0,0,0,0,0,0,0
10036,1983,8,9,8,8,17,18,13,8,10,15
10037,1983,0,0,0,0,0,0,0,0,0,0
10038,1983,11,11,11,11,11,11,11,11,11,11
10039,1983,16,16,16,16,16,16,16,16,16,16
10040,1983,0,0,0,0,0,0,0,0,0,0
10041,1983,0,0,0,9,0,0,0,0,0,0
10042,1983,0,0,0,0,0,0,0,0,52,0
10043,1983,15,15,15,15,15,15,15,15,15,15
10044,1983,14,14,14,14,14,14,14,14,14,14
10045,1983,19,19,19,19,19,19,19,19,19,19
10046,1983,0,0,0,0,0,0,0,0,0,0
10047,1983,0,0,0,0,18,0,14,0,0,0
10048,1983,0,0,8,0,0,0,0,0,0,0
10049,1983,17,38,22,18,17,13,30,15,32,5
10050,1983,0,0,0,0,0,0,0,0,0,0
10051,1983,10,10,10,10,10,10,10,10,10,10
10052,1983,21,20,6,16,0,19,15,9,23,17
10053,1983,0,0,0,0,0,0,0,0,0,0
10054,1983,0,0,0,19,20,0,15,14,0,0
10055,1983,16,0,0,22,0,0,17,0,24,0
10056,1983,7,12,6,7,15,16,10,23,13,19
10057,1983,30,24,22,10,11,17,15,18,16,6
10058,1983,8,12,19,18,24,14,12,24,19,21
10059,1983,0,0,0,0,0,0,0,0,0,0
10060,1983,13,12,22,0,22,9,0,6,34,7
10061,1983,14,0,30,14,11,22,12,29,13,31
10062,1983,0,0,0,0,0,0,0,0,0,0
10063,1983,17,17,17,17,22,17,23,30,20,17
10064,1983,24,24,24,24,24,24,24,26,24,24
