"outcome","coefficient","std_error","pvalue","n_obs","r2"
"Hit-Run",0.0583794635655191,0.0445588720492052,0.196248882745535,1350,0.913499555195567
"Non-Hit-Run",0.0178282535657897,0.0171974947976572,0.304975281589089,1350,0.987431983239393
