"event_time","coefficient","std_error","pvalue","ci_lower","ci_upper"
-5,-0.0214715378580592,0.0220884106059402,0.335788765169765,-0.064764822645702,0.0218217469295835
-4,0.0120006920496533,0.0198989802299575,0.549236364006309,-0.0270013092010635,0.05100269330037
-3,0.0128847222178224,0.0197496351882556,0.517190240011154,-0.0258245627511586,0.0515940071868034
-2,0.0116152906411235,0.0165017778130099,0.484838449762629,-0.0207281938723759,0.0439587751546229
-1,0,0,NA,0,0
0,0.00671401159365931,0.0131433654484694,0.61176477831781,-0.0190469846853407,0.0324750078726594
1,0.00236654466257933,0.0162453834079411,0.884775656428195,-0.0294744068169853,0.034207496142144
2,0.0313517081848785,0.0166020712661524,0.0648967980838658,-0.00118835149678017,0.0638917678665372
3,0.031238471081759,0.0210169319672351,0.143593612502616,-0.00995471557402186,0.0724316577375399
4,0.0414437043290614,0.0213933070754399,0.0584933602609597,-0.000487177538800891,0.0833745861969236
5,0.0321914781876014,0.0259924544263205,0.221433853156652,-0.0187537324879868,0.0831366888631896
6,0.0423426346362874,0.0347857163686126,0.229342163254315,-0.0258373694461932,0.110522638718768
7,0.0112316668413464,0.0380541192642007,0.769126442923782,-0.063354406916487,0.0858177405991798
8,-0.017943988540471,0.0432931497193062,0.680334204499474,-0.102798561990311,0.0669105849093692
9,-0.0231134707043836,0.0512429544006868,0.653938656904854,-0.12354966132973,0.0773227199209625
10,0.0243288007234596,0.0595177854223715,0.684493037190539,-0.0923260587043886,0.140983660151308
