event_time,coefficient,std_error,ci_lower,ci_upper
-6,-0.0510240334396147,0.046903205398615415,-0.14310720509876523,0.04105913821953584
-5,-0.014084589498782558,0.027449133247343563,-0.06797436584197143,0.039805186844406315
-4,-0.018728590104885503,0.01908865822867578,-0.056204583002929465,0.018747402793158462
-3,-0.005548737187458557,0.019079438302114612,-0.04300662897550371,0.0319091546005866
-2,0.008548756480490692,0.01671029590030911,-0.024257893572232285,0.04135540653321367
0,0.02207868176060013,0.019050014461960214,-0.015321443388666669,0.05947880690986693
1,0.012599488086432844,0.020713933092719083,-0.02806734140853632,0.05326631758140201
2,0.011524413767930855,0.026240799016870042,-0.039993088709949755,0.06304191624581146
3,0.0134910914848851,0.0279199963200043,-0.04132311134001826,0.06830529430978846
4,0.01151548676365471,0.03427866226743038,-0.055782428485246754,0.07881340201255618
5,0.006839609003639176,0.03302773963028665,-0.05800242027863232,0.07168163828591068
6,0.006337348367371881,0.037188781773287403,-0.06667388714885583,0.07934858388359958
