outcome,coefficient,std_error,pvalue,n_obs,r2
Hit-Run,0.058379463565518964,0.04455887204920505,0.1962488827455342,1350,0.9134995551955678
Non-Hit-Run,0.01782825356578959,0.017197494797657094,0.30497528158908915,1350,0.9874319832393927
