event_time,coefficient,std_error,pvalue,ci_lower,ci_upper
-5,-0.08002787205764096,0.0776525665753374,0.30779394329943366,-0.23222690254530226,0.07217115843002032
-4,-0.04264683910161052,0.09278045378910225,0.6477980862857566,-0.22449652852825094,0.1392028503250299
-3,0.016126381620873764,0.08102052171594627,0.8430545268980731,-0.14267384094238092,0.17492660418412845
-2,0.049312707162683114,0.06940769904103575,0.48077523816633283,-0.08672638295774694,0.18535179728311318
-1,0.0,0.0,,0.0,0.0
0,0.007326876509402839,0.08883917333078953,0.9346061872255382,-0.16679790321894464,0.1814516562377503
1,-0.010647855863798726,0.10247701028163592,0.9176690023383443,-0.21150279601580513,0.19020708428820765
2,0.05798132370505752,0.0792307913903359,0.46777457517932186,-0.09731102742000083,0.21327367483011586
3,0.05130169866501023,0.07815071988915914,0.5146085767225008,-0.1018737123177417,0.20447710964776214
4,0.09783075872691434,0.08459193134732107,0.2530831836599885,-0.06796942671383495,0.26363094416766364
5,0.002135047326552807,0.09303494802101224,0.9817842558696828,-0.18021345079463116,0.1844835454477368
6,0.1726792527522965,0.09183392929201985,0.06601231452744738,-0.00731524866006239,0.3526737541646554
7,0.048194465902729265,0.09752224219311233,0.6233806521884744,-0.14294912879577087,0.23933806060122942
8,-0.042684719887323766,0.1046802790889341,0.68522404242806,-0.2478580669016346,0.16248862712698708
9,0.13716218846808007,0.1522828057677117,0.3721498656716138,-0.16131211083663485,0.43563648777279496
10,-0.0010968537780383565,0.14115082168621207,0.9938314187158894,-0.27775246428301403,0.2755587567269373
