ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
40667,1987,6,19,6,8,6,6,6,6,15,6
40668,1987,21,21,21,21,21,21,21,21,21,21
40669,1987,14,14,14,14,14,14,14,14,14,14
40670,1987,16,16,16,16,16,16,16,16,16,16
40671,1987,16,16,16,16,16,16,16,16,16,16
40672,1987,16,31,0,17,19,22,15,17,15,8
40673,1987,17,17,17,17,17,17,17,17,17,17
40674,1987,6,6,6,6,6,6,6,6,6,6
40675,1987,17,17,17,17,17,17,17,17,17,17
40676,1987,0,0,0,0,0,0,0,0,0,0
40677,1987,14,14,14,14,14,14,14,14,14,14
40678,1987,17,15,15,0,0,19,0,0,0,0
40679,1987,22,22,22,22,22,22,22,22,22,22
40680,1987,19,19,19,19,19,19,19,19,19,19
40681,1987,30,0,7,0,0,0,0,26,0,10
40682,1987,13,13,13,13,13,13,13,13,13,13
40683,1987,0,0,0,0,0,0,0,0,0,0
40684,1987,19,19,19,19,19,19,19,19,19,19
40685,1987,0,0,0,0,0,0,0,0,0,0
40686,1987,0,11,0,0,0,0,0,0,0,0
40687,1987,9,17,18,0,16,22,19,13,28,17
40688,1987,0,0,0,0,0,0,0,0,0,0
40689,1987,0,0,0,0,0,0,0,0,0,0
40690,1987,9,17,0,14,0,13,0,17,0,0
40691,1987,0,0,0,0,0,0,0,0,0,0
40692,1987,0,0,0,0,0,0,0,0,0,0
40694,1987,11,0,30,17,27,15,14,8,21,23
40695,1987,0,0,0,0,0,0,0,0,0,0
40696,1987,14,21,26,12,6,8,16,0,9,4
40697,1987,0,0,0,0,0,0,0,0,0,0
40698,1987,15,15,15,15,15,15,15,15,15,15
40699,1987,19,19,19,19,19,19,19,19,19,19
40700,1987,5,0,0,0,0,0,0,0,0,0
40701,1987,19,19,19,19,19,19,19,19,19,19
40702,1987,15,0,57,0,5,27,0,13,6,3
40703,1987,26,26,26,26,26,26,26,26,26,26
40704,1987,0,0,0,0,0,0,0,6,0,17
40705,1987,0,0,0,0,0,0,7,0,0,0
40706,1987,0,0,0,0,0,0,0,0,0,13
40707,1987,33,14,14,14,25,14,14,14,14,14
40708,1987,34,0,16,14,35,19,20,12,14,13
40709,1987,17,20,17,26,17,17,10,21,13,30
40710,1987,0,0,0,0,0,0,0,0,0,0
40711,1987,1,22,1,1,1,1,3,1,1,1
40712,1987,0,0,0,0,0,0,0,0,0,0
40713,1987,25,25,25,25,25,25,25,25,25,25
40714,1987,6,7,10,10,20,15,10,0,13,9
40715,1987,0,0,0,0,0,19,0,0,0,0
40716,1987,20,20,20,20,20,20,20,20,20,20
40717,1987,0,0,0,0,0,0,0,0,9,0
40718,1987,15,15,25,33,16,14,17,36,27,0
40719,1987,0,0,0,0,0,0,0,0,0,0
40720,1987,0,0,0,0,0,0,0,0,0,0
40721,1987,24,24,24,24,24,24,24,24,24,24
40722,1987,19,0,0,0,0,11,0,0,20,0
40723,1987,13,17,19,5,13,13,26,28,14,11
40724,1987,0,0,19,0,9,0,0,11,0,0
40725,1987,19,19,19,19,19,19,19,19,19,19
40726,1987,11,0,0,0,0,2,0,0,0,0
40727,1987,0,17,5,7,0,18,14,14,0,6
40728,1987,0,0,0,0,0,0,0,0,0,0
40729,1987,25,13,20,18,29,12,16,14,7,18
40730,1987,29,21,14,17,22,19,23,43,11,23
40731,1987,21,21,21,21,21,21,21,21,21,21
40732,1987,0,0,0,0,0,0,0,0,0,0
40733,1987,15,15,15,15,15,15,15,15,15,15
40735,1987,0,0,0,0,0,0,19,0,0,0
40736,1987,0,7,21,0,0,24,0,7,8,10
40738,1987,0,0,12,24,13,20,3,6,9,15
40740,1987,22,22,22,22,22,22,22,22,32,22
40741,1987,21,21,21,21,21,21,21,35,22,21
40743,1987,15,0,0,0,13,11,0,12,0,0
40744,1987,0,0,18,0,11,0,39,24,4,35
