ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1984,0,30,0,32,7,0,0,0,23,0
10002,1,1,1984,29,17,11,19,34,24,15,20,34,5
10003,1,1,1984,0,0,0,0,0,0,0,0,0,0
10003,2,1,1984,0,0,0,0,0,0,0,0,0,0
10004,1,1,1984,0,0,0,0,0,0,0,0,0,0
10004,2,1,1984,0,0,0,0,0,0,0,0,0,0
10004,3,1,1984,0,0,0,0,0,0,0,0,0,0
10005,0,1,1984,8,8,8,8,8,8,8,8,8,8
10005,1,1,1984,0,0,0,0,0,0,0,0,0,0
10006,1,1,1984,0,0,0,0,0,0,0,0,0,0
10006,2,1,1984,14,14,14,14,14,14,14,14,14,14
10007,1,1,1984,20,0,11,26,36,0,40,12,14,0
10008,1,1,1984,0,0,0,0,0,0,0,0,0,0
10009,1,1,1984,19,10,23,12,9,20,0,16,25,20
10010,1,1,1984,14,8,10,16,15,19,11,7,10,6
10010,2,1,1984,0,0,0,0,0,0,0,0,0,0
10010,3,1,1984,18,11,7,12,22,9,13,8,15,14
10011,1,1,1984,15,15,15,15,15,15,15,15,15,15
10011,2,1,1984,0,0,0,0,0,0,0,0,0,0
10012,1,1,1984,18,6,10,16,13,18,7,15,21,15
10012,2,1,1984,11,0,11,0,12,7,16,3,10,15
10012,3,1,1984,5,25,17,10,11,5,5,0,27,18
10013,1,1,1984,15,15,15,15,15,15,15,15,15,15
10013,2,1,1984,16,16,16,16,16,16,16,16,16,16
10014,1,1,1984,15,15,15,15,15,15,15,15,15,15
10015,1,1,1984,0,0,9,0,0,0,0,0,0,17
10015,2,1,1984,0,0,0,0,0,0,0,0,0,0
10016,1,1,1984,0,0,0,0,0,0,9,0,0,0
10017,1,1,1984,22,22,22,22,22,22,22,22,22,22
10017,2,1,1984,0,0,0,0,0,0,0,0,0,0
10018,1,1,1984,0,0,0,0,0,0,0,0,0,0
10018,2,1,1984,0,16,0,31,0,0,0,0,0,0
10018,3,1,1984,0,0,0,0,0,0,0,0,0,0
10019,1,1,1984,0,0,0,11,0,0,16,0,0,0
10020,1,1,1984,16,16,16,16,16,16,16,16,16,16
10020,2,1,1984,0,0,0,0,0,0,0,0,0,0
10021,1,1,1984,14,14,14,14,14,14,14,14,14,14
10021,2,1,1984,24,10,8,0,6,0,14,7,0,6
10022,1,1,1984,0,0,0,0,0,0,0,0,0,0
10022,2,1,1984,31,31,31,31,31,31,31,31,31,31
10023,1,1,1984,0,0,0,0,0,0,0,0,0,0
10024,1,1,1984,10,10,10,10,10,10,10,10,10,10
10024,2,1,1984,0,22,16,0,6,0,0,0,0,9
10025,0,1,1984,0,0,0,0,0,0,0,0,0,0
10025,1,1,1984,0,0,0,0,0,0,0,0,0,0
10026,0,1,1984,0,0,19,0,0,0,0,0,0,0
10026,1,1,1984,0,0,0,0,0,8,0,0,0,0
10027,1,1,1984,0,0,15,0,0,0,0,0,0,0
10027,2,1,1984,0,0,23,0,0,0,0,12,0,0
10028,1,1,1984,0,0,0,0,12,0,0,0,0,14
10028,2,1,1984,0,0,0,0,0,0,0,0,0,0
10029,1,1,1984,37,37,37,37,37,37,37,37,37,37
10030,0,1,1984,0,0,0,0,0,0,0,0,0,0
10030,0,2,1984,0,18,0,16,12,0,0,0,0,0
10030,1,1,1984,0,0,0,14,0,0,0,0,0,0
10031,1,1,1984,0,0,0,0,0,0,24,0,0,0
10032,1,1,1984,0,0,0,0,0,0,0,0,0,0
10032,2,1,1984,0,0,0,0,0,0,0,0,0,0
10032,3,1,1984,0,0,0,0,0,0,0,0,0,0
10033,0,1,1984,7,7,7,7,7,7,7,7,7,7
10033,1,1,1984,0,0,0,0,0,0,0,0,0,0
10034,1,1,1984,11,11,11,11,11,11,11,11,11,11
10035,1,1,1984,0,0,0,0,0,0,0,0,0,0
10035,2,1,1984,11,0,12,0,0,0,0,14,0,0
10036,1,1,1984,0,0,0,18,0,0,0,0,23,0
10036,2,1,1984,0,0,0,0,0,0,0,0,0,0
10036,3,1,1984,0,12,0,0,0,0,0,0,0,0
10036,4,1,1984,0,0,0,0,0,0,0,0,0,0
10037,1,1,1984,26,26,26,26,26,26,26,26,26,26
10037,2,1,1984,0,0,0,0,0,7,0,0,0,0
10038,1,1,1984,39,18,0,18,33,29,0,7,29,0
10039,1,1,1984,18,0,21,21,18,0,26,21,0,0
10040,1,1,1984,0,0,0,13,0,0,0,0,0,0
10040,2,1,1984,0,0,0,10,0,0,0,0,43,0
10041,0,1,1984,0,0,0,0,0,0,0,0,0,0
10041,1,1,1984,0,0,0,0,0,0,0,0,0,0
10042,1,1,1984,3,13,11,12,15,6,4,9,17,5
10043,1,1,1984,5,5,5,5,5,5,5,5,5,5
10044,0,1,1984,0,0,0,0,0,0,0,0,0,0
10044,1,1,1984,0,0,0,0,0,0,0,0,0,0
10045,1,1,1984,0,0,0,0,0,0,0,0,0,0
10046,1,1,1984,0,0,0,0,0,0,12,7,9,0
10047,2,1,1984,0,0,0,0,0,0,15,0,0,0
10048,1,1,1984,0,0,0,0,0,0,0,0,0,0
10048,2,1,1984,0,0,0,0,0,0,0,0,0,0
10049,1,1,1984,0,23,0,0,0,0,0,0,0,0
10049,2,1,1984,0,0,0,0,0,0,0,0,12,0
10050,1,1,1984,0,0,0,0,0,0,0,0,0,0
10050,2,1,1984,0,0,0,0,0,0,0,0,0,15
10051,1,1,1984,0,18,0,0,0,0,0,0,0,0
10052,0,1,1984,1,1,1,1,1,1,1,1,1,1
10052,1,1,1984,0,0,0,0,0,12,0,28,0,27
10053,1,1,1984,28,11,14,7,2,12,8,16,28,17
10054,1,1,1984,7,8,13,33,13,2,26,13,5,21
10055,1,1,1984,12,12,12,12,12,12,12,12,12,12
10056,1,1,1984,0,0,0,14,0,0,0,0,0,6
10057,0,1,1984,0,0,0,0,0,0,0,0,0,0
10057,1,1,1984,0,0,0,0,0,0,0,0,0,0
10058,1,1,1984,0,0,0,0,16,0,0,0,0,0
10058,2,1,1984,3,0,2,0,11,20,9,22,25,28
10059,1,1,1984,0,0,0,0,0,0,0,0,0,0
10060,1,1,1984,0,0,0,0,0,0,0,0,0,0
10060,2,1,1984,0,0,0,0,0,0,0,0,0,0
10061,1,1,1984,0,0,0,0,0,0,0,0,0,0
10061,2,1,1984,21,19,0,9,10,11,22,19,18,5
10062,0,1,1984,0,2,0,0,0,0,0,0,0,0
10062,1,1,1984,0,0,0,0,0,0,0,0,0,0
10063,1,1,1984,0,0,0,0,0,0,0,0,0,0
10063,2,1,1984,0,0,0,0,0,0,0,0,0,0
10064,1,1,1984,0,0,0,3,0,0,0,0,0,0
10064,2,1,1984,0,0,0,0,0,0,0,0,0,0
10065,1,1,1984,0,7,10,29,7,9,12,14,12,21
10065,2,1,1984,0,25,0,0,0,0,0,0,0,0
10066,1,1,1984,10,10,10,10,10,10,10,10,10,10
10067,1,1,1984,8,8,8,8,8,8,8,8,8,8
10067,2,1,1984,0,0,0,0,0,0,0,0,0,20
10068,1,1,1984,0,0,0,15,0,0,0,0,0,28
10069,1,1,1984,0,0,0,0,0,0,0,0,0,0
10069,2,1,1984,0,16,0,0,0,0,0,0,0,0
10070,1,1,1984,0,0,5,0,0,0,0,7,0,0
10071,0,1,1984,22,42,0,29,11,15,10,20,20,14
10071,1,1,1984,0,0,0,0,0,0,0,0,15,0
10072,1,1,1984,0,0,0,0,0,0,0,0,0,0
10072,2,1,1984,6,6,6,6,6,6,6,6,6,6
10073,0,1,1984,0,0,0,0,0,0,14,0,0,0
10073,1,1,1984,0,30,0,0,0,0,0,0,0,0
10074,1,1,1984,0,0,0,0,0,0,0,0,0,0
10075,1,1,1984,25,25,2,10,8,31,22,15,7,35
10076,1,1,1984,0,0,0,0,0,0,0,0,0,0
10076,2,1,1984,0,0,0,0,0,0,0,0,0,0
10077,1,1,1984,0,0,0,0,0,0,0,0,0,0
10077,2,1,1984,0,0,0,0,0,0,0,0,0,0
10078,1,1,1984,0,0,0,0,0,0,0,0,0,0
10078,2,1,1984,12,0,17,20,11,15,8,12,16,16
10079,1,1,1984,21,0,13,15,25,26,19,25,31,28
10080,1,1,1984,11,17,14,25,12,15,33,6,25,25
10080,2,1,1984,0,0,0,15,19,7,0,6,15,0
10081,1,1,1984,0,0,0,0,16,0,4,0,0,7
10081,2,1,1984,0,0,0,0,0,0,0,0,0,0
10082,1,1,1984,0,0,0,0,0,0,0,0,0,0
10082,2,1,1984,0,0,0,0,0,0,0,0,0,0
10083,1,1,1984,20,20,20,20,20,20,20,20,20,20
10083,2,1,1984,0,0,0,0,0,3,0,0,0,0
10084,1,1,1984,0,0,0,0,0,0,0,0,0,0
10084,2,1,1984,0,0,0,0,0,0,0,0,0,0
10085,1,1,1984,0,0,0,0,0,0,0,0,0,0
10086,1,1,1984,0,0,0,0,0,0,0,0,0,0
10086,2,1,1984,0,0,0,0,0,0,0,0,0,7
10087,1,1,1984,10,18,13,40,18,0,13,16,21,28
10087,2,1,1984,0,0,0,0,0,0,0,0,0,0
10088,1,1,1984,8,0,0,0,0,0,0,0,0,0
10088,2,1,1984,13,0,19,10,13,26,9,12,16,8
10089,1,1,1984,18,0,19,17,0,0,0,0,23,0
10090,1,1,1984,0,0,0,0,21,0,0,0,0,18
10090,2,1,1984,0,0,0,0,0,0,3,0,0,11
10091,1,1,1984,0,0,0,0,0,0,0,0,0,11
10092,1,1,1984,23,23,23,23,23,23,23,23,23,23
10092,2,1,1984,0,0,0,0,0,0,0,0,0,0
10093,1,1,1984,19,19,19,19,19,19,19,19,19,19
10094,1,1,1984,0,0,0,0,0,0,0,0,0,0
10094,2,1,1984,0,0,0,0,0,0,0,0,0,0
10095,1,1,1984,0,0,0,0,0,0,0,0,0,0
10095,2,1,1984,0,0,0,0,0,0,0,0,0,0
10096,1,1,1984,0,4,0,0,0,0,0,0,0,6
10097,1,1,1984,14,20,27,23,6,0,17,15,5,22
10098,1,1,1984,17,17,17,17,17,17,17,17,17,17
10099,1,1,1984,0,0,0,0,0,0,0,31,0,0
10099,2,1,1984,0,0,0,11,23,0,0,0,0,2
10100,1,1,1984,25,0,0,26,18,0,0,15,0,10
10100,2,1,1984,0,0,15,0,9,0,35,0,0,0
10101,1,1,1984,0,0,0,0,0,0,0,0,0,0
10101,2,1,1984,0,0,0,0,0,0,0,0,0,0
10102,1,1,1984,22,22,22,22,22,22,22,22,22,22
10103,1,1,1984,0,0,0,0,0,0,0,0,0,0
10103,2,1,1984,0,0,0,0,0,0,0,0,0,0
10103,3,1,1984,0,17,0,0,0,0,0,0,0,0
10104,1,1,1984,0,0,0,0,0,0,0,0,0,0
10104,2,1,1984,0,0,0,0,11,0,0,0,0,0
10105,0,1,1984,0,0,0,0,0,0,0,0,0,0
10105,1,1,1984,0,0,0,10,0,0,0,0,0,0
10106,1,1,1984,9,20,15,14,27,0,12,11,29,13
10106,2,1,1984,0,0,0,0,0,0,0,0,0,0
10107,1,1,1984,12,13,26,26,15,24,8,6,3,38
10108,1,1,1984,0,0,15,0,23,0,32,0,0,0
10108,2,1,1984,0,0,0,0,7,0,0,0,0,0
10109,1,1,1984,0,0,0,0,0,0,0,0,0,0
10109,2,1,1984,27,27,27,27,27,27,27,27,27,27
10110,1,1,1984,11,11,11,11,11,11,11,11,11,11
10111,1,1,1984,0,0,0,0,0,0,0,0,0,0
10111,2,1,1984,0,0,0,0,0,0,0,0,0,0
10112,1,1,1984,8,13,25,26,19,13,0,24,0,0
10113,0,1,1984,4,0,21,8,0,24,11,6,21,0
10113,1,1,1984,7,16,12,12,11,14,11,11,12,15
10114,1,1,1984,0,0,0,0,0,0,0,0,0,0
10114,2,1,1984,25,25,25,25,25,25,25,25,25,25
10115,0,1,1984,35,35,35,35,35,35,35,35,35,35
10115,1,1,1984,12,9,5,7,22,9,15,18,24,4
10116,1,1,1984,0,0,0,0,0,0,0,0,0,0
10116,2,1,1984,0,0,8,0,0,0,0,12,10,0
10117,1,1,1984,14,14,14,14,14,14,14,14,14,14
10118,1,1,1984,7,7,7,7,7,7,7,7,7,7
10118,2,1,1984,0,0,0,0,0,0,0,0,0,0
10119,1,1,1984,0,16,17,0,6,10,0,9,0,0
10120,1,1,1984,0,0,0,0,0,0,0,0,0,0
10121,1,1,1984,17,17,17,17,17,17,17,17,17,17
10122,0,1,1984,20,0,24,0,17,0,20,31,14,0
10122,1,1,1984,0,0,17,0,0,0,0,0,0,0
10123,1,1,1984,17,17,17,17,17,17,17,17,17,17
10123,2,1,1984,0,0,0,18,0,0,0,0,0,0
10124,0,1,1984,0,0,0,0,0,0,0,0,13,0
10124,1,1,1984,0,0,0,0,0,0,0,0,0,0
10125,1,1,1984,26,26,16,24,21,21,14,17,29,25
10126,1,1,1984,8,21,17,12,16,19,12,36,23,25
10127,1,1,1984,0,0,0,0,0,0,0,0,0,0
10127,2,1,1984,0,0,0,0,0,0,0,0,0,0
10128,0,1,1984,0,0,0,0,0,0,0,0,0,0
10128,1,1,1984,0,0,0,0,0,0,0,0,0,13
10130,1,1,1984,17,8,0,0,0,0,0,13,16,0
10131,0,1,1984,0,21,0,0,0,29,0,0,0,0
10131,1,1,1984,0,0,0,0,0,0,0,0,28,0
