ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1986,0,0,0,0,0,0,0,0,0,0
10002,1986,32,25,15,9,34,17,17,12,19,23
10003,1986,22,31,22,16,27,30,20,9,0,12
10004,1986,0,0,26,10,0,0,12,6,0,12
10005,1986,4,4,4,4,4,4,4,4,4,4
10006,1986,0,0,0,0,0,0,0,0,0,0
10007,1986,32,32,32,32,32,32,32,32,32,32
10008,1986,0,0,0,0,0,0,0,0,0,0
10009,1986,0,0,0,0,0,0,0,0,0,0
10010,1986,0,0,0,0,0,3,0,0,0,0
10012,1986,0,0,0,0,0,0,0,0,0,0
10013,1986,33,33,33,33,33,33,33,33,33,33
10014,1986,15,15,15,15,15,15,15,15,15,15
10015,1986,14,0,0,0,0,0,0,0,0,0
10016,1986,0,0,0,0,0,0,0,0,0,0
10018,1986,0,15,0,8,0,0,0,0,0,28
10019,1986,0,0,0,0,0,0,0,0,0,0
10020,1986,0,0,0,0,0,0,0,0,10,0
10021,1986,0,0,0,0,0,0,0,0,0,0
10022,1986,4,4,4,4,4,4,4,4,4,4
10023,1986,24,24,24,24,24,24,24,24,24,24
10024,1986,15,15,15,15,15,15,15,15,15,15
10025,1986,0,0,0,0,0,0,0,0,0,0
10026,1986,0,0,0,0,0,0,0,0,0,0
10027,1986,0,0,0,0,0,0,0,0,0,0
10028,1986,0,6,16,0,0,0,19,0,17,0
10029,1986,14,14,14,14,14,14,14,14,14,14
10030,1986,0,0,0,0,0,0,0,0,0,0
10031,1986,12,0,18,11,0,0,42,10,30,0
10032,1986,14,14,14,14,14,14,14,14,14,14
10033,1986,0,0,0,0,0,0,0,0,0,0
10034,1986,9,15,11,14,11,16,22,25,13,18
10035,1986,21,16,6,22,13,18,0,25,0,18
10036,1986,0,0,0,0,0,0,0,0,0,0
10037,1986,23,23,23,23,23,23,23,23,23,23
10038,1986,3,3,3,3,3,3,3,3,3,3
10039,1986,0,0,0,0,0,0,0,0,0,0
10040,1986,0,0,0,0,0,0,0,0,0,0
10041,1986,0,0,0,0,0,0,0,0,0,0
10042,1986,23,23,23,23,23,23,23,23,23,23
10043,1986,0,0,0,0,22,0,0,0,0,0
10044,1986,0,0,0,0,0,0,0,0,0,0
10045,1986,4,53,15,10,27,33,18,22,0,8
10046,1986,0,0,0,0,0,0,0,0,0,0
10047,1986,2,2,2,2,2,2,2,2,2,2
10048,1986,0,0,0,0,0,0,0,0,0,0
10049,1986,0,0,0,0,0,0,0,0,0,0
10050,1986,0,0,0,0,0,0,0,0,0,0
10051,1986,21,37,36,6,6,3,13,19,25,21
10052,1986,0,0,0,0,3,0,0,0,0,0
10053,1986,16,29,16,22,16,31,6,6,0,12
10054,1986,0,0,0,0,0,0,0,0,0,0
10055,1986,13,0,0,0,0,0,0,0,13,0
10056,1986,2,2,2,9,2,2,12,2,2,2
10057,1986,21,21,21,21,21,21,21,21,21,21
10058,1986,0,0,0,0,0,0,0,0,0,0
10059,1986,17,17,17,17,17,17,17,17,17,17
10060,1986,33,20,19,19,0,17,8,0,0,0
10061,1986,0,11,22,13,0,0,0,0,0,13
10062,1986,0,0,0,0,0,0,0,0,0,0
10063,1986,0,0,0,0,0,0,0,0,0,0
10064,1986,26,11,13,27,16,0,20,0,26,20
10065,1986,0,0,0,0,0,0,0,0,0,0
10066,1986,0,0,0,0,0,0,0,0,0,0
10067,1986,0,0,0,0,0,0,0,0,0,0
10068,1986,7,13,13,0,10,10,8,6,7,5
10069,1986,7,7,7,7,7,7,7,7,7,7
10070,1986,18,16,0,16,0,0,7,8,0,0
10071,1986,26,26,26,26,26,26,26,26,26,26
10072,1986,0,0,0,0,0,0,0,0,0,0
10073,1986,0,0,0,0,0,0,0,0,0,0
10074,1986,0,0,0,0,0,0,0,30,0,0
10075,1986,32,32,32,32,32,32,32,32,32,32
10076,1986,0,0,0,0,0,0,0,0,0,0
10077,1986,0,0,0,0,0,0,0,0,0,0
