ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,0,1,1986,28,28,28,28,28,28,28,28,28,28
10001,1,1,1986,0,0,0,0,0,0,0,0,0,0
10002,1,1,1986,32,25,15,9,19,17,17,6,19,23
10002,2,1,1986,0,16,0,0,34,0,0,12,0,0
10003,1,1,1986,22,31,22,16,27,30,20,9,0,12
10004,1,1,1986,0,0,0,0,0,0,0,0,0,0
10004,2,1,1986,0,0,26,10,0,0,12,6,0,12
10005,1,1,1986,4,4,4,4,4,4,4,4,4,4
10006,0,1,1986,0,0,0,0,0,0,0,0,0,0
10006,1,1,1986,0,0,0,0,0,0,0,0,0,0
10007,1,1,1986,32,32,32,32,32,32,32,32,32,32
10008,1,1,1986,0,0,0,0,0,0,0,0,0,0
10008,2,1,1986,0,0,0,0,0,0,0,0,0,0
10009,1,1,1986,0,0,0,0,0,0,0,0,0,0
10010,0,1,1986,0,0,0,0,24,0,0,0,0,0
10010,1,1,1986,0,0,0,0,0,3,0,0,0,0
10012,1,1,1986,0,0,0,0,0,0,0,0,0,0
10013,1,1,1986,33,33,33,33,33,33,33,33,33,33
10014,1,1,1986,15,15,15,15,15,15,15,15,15,15
10014,2,1,1986,0,0,0,0,0,0,0,0,0,0
10015,0,1,1986,0,0,0,0,17,0,0,0,0,0
10015,1,1,1986,14,0,0,0,0,0,0,0,0,0
10016,1,1,1986,0,0,0,0,0,0,0,0,0,0
10016,2,1,1986,0,0,0,0,0,0,0,0,0,0
10018,1,1,1986,0,15,0,8,0,0,0,0,0,28
10018,2,1,1986,0,0,0,0,0,0,0,0,0,0
10019,0,1,1986,28,11,11,6,0,27,0,8,12,19
10019,1,1,1986,0,0,0,0,0,0,0,0,0,0
10020,1,1,1986,0,0,0,0,0,0,0,0,10,0
10021,0,1,1986,0,0,0,0,0,0,0,0,0,0
10021,1,1,1986,0,0,0,0,0,0,0,0,0,0
10022,1,1,1986,4,4,4,4,4,4,4,4,4,4
10023,1,1,1986,24,24,24,24,24,24,24,24,24,24
10023,2,1,1986,0,0,0,0,0,0,0,0,0,0
10024,1,1,1986,15,15,15,15,15,15,15,15,15,15
10024,2,1,1986,10,10,10,10,10,10,10,10,10,10
10025,1,1,1986,0,0,0,0,0,0,0,0,0,0
10026,1,1,1986,0,0,0,0,0,0,0,0,0,0
10027,1,1,1986,0,0,0,0,0,0,0,0,0,0
10027,2,1,1986,0,0,0,0,0,0,0,0,0,0
10028,1,1,1986,0,6,16,0,0,0,19,0,17,0
10029,1,1,1986,14,14,14,14,14,14,14,14,14,14
10030,0,1,1986,0,0,0,0,0,0,0,0,0,0
10030,1,1,1986,0,0,0,0,0,0,0,0,0,0
10031,0,5,1986,0,13,0,0,14,13,0,17,11,37
10031,1,1,1986,12,0,18,11,0,0,42,10,30,0
10032,1,1,1986,14,14,14,14,14,14,14,14,14,14
10032,2,1,1986,0,0,0,0,0,0,0,0,0,0
10033,1,1,1986,0,0,0,0,0,0,0,0,0,0
10034,0,1,1986,0,0,0,0,0,0,0,0,0,0
10034,1,1,1986,9,15,11,14,11,16,22,25,13,18
10035,1,1,1986,21,16,6,22,13,18,0,25,0,18
10036,1,1,1986,0,0,0,0,0,0,0,0,0,0
10037,0,1,1986,5,5,5,5,5,5,5,5,5,5
10037,1,1,1986,23,23,23,23,23,23,23,23,23,23
10038,1,1,1986,3,3,3,3,3,3,3,3,3,3
10039,0,1,1986,0,0,0,0,0,0,0,0,0,0
