ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1982,0,0,0,0,14,0,0,24,0,21
10002,1,1,1982,20,16,14,16,15,9,9,20,32,17
10003,1,1,1982,17,18,0,20,17,14,28,17,17,18
10004,1,1,1982,28,4,10,9,15,14,24,11,13,11
10005,0,1,1982,0,0,0,0,0,0,0,0,0,0
10005,1,1,1982,22,22,22,22,22,22,22,22,22,22
10006,1,1,1982,19,12,24,24,26,27,28,22,29,0
10007,1,1,1982,9,25,23,11,32,9,20,21,59,8
10008,1,1,1982,0,0,0,0,0,0,0,0,0,0
10008,2,1,1982,0,0,0,0,0,0,0,0,0,0
10009,1,1,1982,0,0,0,0,0,19,24,16,0,18
10010,1,1,1982,0,0,0,0,0,0,0,0,0,0
10010,2,1,1982,0,0,0,0,0,0,0,0,0,0
10011,1,1,1982,0,0,0,0,0,0,0,0,0,0
10011,2,1,1982,0,0,0,0,0,0,9,0,0,0
10012,1,1,1982,0,0,0,0,0,0,0,0,0,0
10012,2,1,1982,0,0,0,0,0,0,0,0,0,0
10013,0,1,1982,15,30,15,0,21,33,30,34,25,7
10013,1,1,1982,0,0,11,0,0,0,0,0,11,0
10014,0,1,1982,0,0,0,0,0,0,0,0,0,0
10014,1,1,1982,15,20,8,14,12,8,6,11,0,11
10015,1,1,1982,16,22,21,20,18,25,29,30,7,16
10016,1,1,1982,21,13,12,15,16,25,16,23,30,5
10017,1,1,1982,20,6,0,12,37,17,0,0,15,0
10018,1,1,1982,0,12,17,16,24,30,10,44,0,14
10019,1,1,1982,0,5,38,0,0,0,0,0,0,0
10020,0,1,1982,0,0,0,0,0,0,0,0,10,0
10020,1,1,1982,0,0,0,0,0,0,0,0,0,0
10021,1,1,1982,0,20,13,17,12,16,0,34,34,9
10021,2,1,1982,17,0,0,26,23,10,15,0,22,22
10022,1,1,1982,17,8,12,0,23,18,13,10,5,5
10023,1,1,1982,0,0,0,0,0,0,0,0,0,0
10024,1,1,1982,7,22,20,0,4,15,4,22,29,17
10025,1,1,1982,12,0,0,0,0,0,0,0,0,0
10026,1,1,1982,0,0,0,0,0,0,0,0,0,0
10026,2,1,1982,0,0,0,0,0,0,0,0,0,0
10027,1,1,1982,14,24,14,25,12,20,9,21,18,24
10028,1,1,1982,24,11,11,13,16,26,17,0,29,0
10029,1,1,1982,0,0,0,0,0,0,0,0,0,0
10029,2,1,1982,0,0,3,0,0,0,0,0,0,24
10030,1,1,1982,31,14,19,38,14,14,17,26,13,2
10031,1,1,1982,0,28,18,33,7,13,2,13,7,30
10032,1,1,1982,12,0,0,10,0,17,0,8,0,11
10033,1,1,1982,10,21,25,19,16,7,17,20,18,12
10034,1,1,1982,29,36,29,9,22,28,6,0,24,26
10035,0,1,1982,27,14,30,33,19,10,18,30,34,31
10035,1,1,1982,0,0,0,0,0,0,0,0,0,0
10036,1,1,1982,15,21,23,13,28,25,20,16,21,24
10037,0,1,1982,0,0,0,0,0,0,0,0,0,0
10037,1,1,1982,0,0,0,0,0,0,0,0,0,0
10038,1,1,1982,15,0,0,19,28,0,20,18,20,6
10039,0,1,1982,0,0,0,0,0,0,0,0,0,0
10039,1,1,1982,0,0,0,0,0,0,0,0,0,0
10040,1,1,1982,11,0,10,0,8,16,13,0,13,28
10041,0,1,1982,0,0,0,0,20,35,9,31,0,0
10041,1,1,1982,0,3,0,0,6,0,0,0,0,0
10042,0,1,1982,20,18,0,18,0,11,20,0,19,0
10042,1,1,1982,4,22,29,15,12,25,14,20,0,17
10043,1,1,1982,16,18,24,20,0,24,16,8,18,23
10043,2,1,1982,6,0,0,0,0,0,0,0,0,0
10043,3,1,1982,0,0,0,0,0,0,0,0,0,0
10044,1,1,1982,0,0,0,0,0,0,0,0,0,0
10044,2,1,1982,14,0,0,0,0,15,0,0,0,0
10045,0,1,1982,0,10,30,0,0,0,0,0,35,16
10045,1,1,1982,0,0,0,0,0,0,0,0,0,0
10046,1,1,1982,0,7,9,33,0,0,16,0,0,0
10047,1,1,1982,45,33,0,18,21,32,36,30,28,5
10048,1,1,1982,0,0,0,0,0,0,0,0,0,0
