ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1982,0,0,0,0,14,0,0,24,0,21
10002,1982,20,16,14,16,15,9,9,20,32,17
10003,1982,17,18,0,20,17,14,28,17,17,18
10004,1982,28,4,10,9,15,14,24,11,13,11
10005,1982,22,22,22,22,22,22,22,22,22,22
10006,1982,19,12,24,24,26,27,28,22,29,0
10007,1982,9,25,23,11,32,9,20,21,59,8
10008,1982,0,0,0,0,0,0,0,0,0,0
10009,1982,0,0,0,0,0,19,24,16,0,18
10010,1982,0,0,0,0,0,0,0,0,0,0
10011,1982,0,0,0,0,0,0,9,0,0,0
10012,1982,0,0,0,0,0,0,0,0,0,0
10013,1982,0,0,11,0,0,0,0,0,11,0
10014,1982,15,20,8,14,12,8,6,11,0,11
10015,1982,16,22,21,20,18,25,29,30,7,16
10016,1982,21,13,12,15,16,25,16,23,30,5
10017,1982,20,6,0,12,37,17,0,0,15,0
10018,1982,0,12,17,16,24,30,10,44,0,14
10019,1982,0,5,38,0,0,0,0,0,0,0
10020,1982,0,0,0,0,0,0,0,0,0,0
10021,1982,17,20,13,26,23,16,15,34,34,22
10022,1982,17,8,12,0,23,18,13,10,5,5
10023,1982,0,0,0,0,0,0,0,0,0,0
10024,1982,7,22,20,0,4,15,4,22,29,17
10025,1982,12,0,0,0,0,0,0,0,0,0
10026,1982,0,0,0,0,0,0,0,0,0,0
10027,1982,14,24,14,25,12,20,9,21,18,24
10028,1982,24,11,11,13,16,26,17,0,29,0
10029,1982,0,0,3,0,0,0,0,0,0,24
10030,1982,31,14,19,38,14,14,17,26,13,2
10031,1982,0,28,18,33,7,13,2,13,7,30
10032,1982,12,0,0,10,0,17,0,8,0,11
10033,1982,10,21,25,19,16,7,17,20,18,12
10034,1982,29,36,29,9,22,28,6,0,24,26
10035,1982,0,0,0,0,0,0,0,0,0,0
10036,1982,15,21,23,13,28,25,20,16,21,24
10037,1982,0,0,0,0,0,0,0,0,0,0
10038,1982,15,0,0,19,28,0,20,18,20,6
10039,1982,0,0,0,0,0,0,0,0,0,0
10040,1982,11,0,10,0,8,16,13,0,13,28
10041,1982,0,3,0,0,6,0,0,0,0,0
10042,1982,4,22,29,15,12,25,14,20,0,17
10043,1982,16,18,24,20,0,24,16,8,18,23
10044,1982,14,0,0,0,0,15,0,0,0,0
10045,1982,0,0,0,0,0,0,0,0,0,0
10046,1982,0,7,9,33,0,0,16,0,0,0
10047,1982,45,33,0,18,21,32,36,30,28,5
10048,1982,0,0,0,0,0,0,0,0,0,15
10049,1982,5,34,0,0,14,23,19,22,19,16
10050,1982,16,0,0,0,28,0,11,0,0,0
10051,1982,0,0,14,12,8,0,7,39,0,0
