ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10126,1988,6,6,6,6,6,6,6,6,6,6
10127,1988,3,3,3,3,3,3,3,3,3,3
10128,1988,0,0,0,0,0,0,0,0,0,0
10129,1988,16,16,16,16,16,16,16,16,16,16
10130,1988,30,30,30,30,30,30,30,30,30,30
10131,1988,0,0,0,0,0,0,0,0,0,0
10132,1988,0,5,0,0,0,0,0,0,0,0
10133,1988,20,20,20,20,20,20,20,20,20,20
10134,1988,0,17,22,0,0,9,24,0,0,0
10135,1988,0,0,0,0,0,0,0,0,0,0
10136,1988,23,0,7,0,21,0,0,0,0,30
10137,1988,0,0,0,0,0,0,0,0,0,0
10138,1988,0,0,0,0,0,0,0,0,11,0
10139,1988,0,0,0,0,0,0,0,0,0,0
10140,1988,0,23,13,0,0,0,7,4,0,0
10141,1988,5,5,5,5,5,5,5,5,5,5
10142,1988,0,16,0,0,0,10,24,0,0,0
10143,1988,0,0,0,0,0,0,0,0,0,0
10144,1988,35,28,24,30,0,23,25,10,27,19
10145,1988,20,20,20,20,20,20,20,20,20,30
10146,1988,18,18,18,18,18,18,18,18,18,18
10147,1988,30,30,30,30,30,30,30,30,30,30
10148,1988,0,0,0,0,0,0,0,0,0,0
10149,1988,0,0,0,0,0,0,0,0,0,0
10150,1988,21,21,21,21,21,21,21,21,21,21
10151,1988,10,0,0,0,22,0,0,0,0,0
10152,1988,0,0,0,0,0,0,0,0,0,0
10153,1988,1,1,1,1,1,18,1,1,18,1
10154,1988,0,0,0,0,0,0,0,0,0,0
10155,1988,0,0,0,0,0,0,0,0,0,0
10156,1988,0,0,0,0,0,0,8,0,0,0
10157,1988,0,0,0,0,0,0,0,0,13,0
10158,1988,0,0,0,0,0,0,0,0,21,0
10159,1988,0,0,0,0,23,0,0,0,19,0
10160,1988,0,0,0,0,0,0,0,0,0,0
10161,1988,0,0,0,0,0,0,0,0,0,0
10162,1988,6,6,6,6,6,6,6,6,6,6
10163,1988,23,23,23,23,23,23,23,23,23,23
10164,1988,0,0,0,0,0,0,0,0,0,0
10165,1988,18,9,13,4,18,15,12,8,21,10
10166,1988,21,21,21,21,21,21,21,21,21,21
10167,1988,30,30,30,30,30,30,30,30,30,30
10168,1988,0,0,0,0,0,0,0,0,0,0
10169,1988,8,0,0,0,0,0,0,0,0,0
10170,1988,0,0,0,0,0,0,0,0,0,0
10171,1988,19,19,19,19,19,19,19,19,19,19
10172,1988,19,19,19,19,19,19,19,19,19,19
10173,1988,0,0,17,0,0,0,0,0,0,0
10174,1988,9,9,9,9,9,9,9,9,9,9
10175,1988,9,9,9,9,9,9,9,9,9,9
10176,1988,0,0,0,0,0,0,0,0,0,0
10177,1988,0,0,7,0,0,0,0,0,0,0
10178,1988,17,17,17,17,17,17,17,17,17,17
10179,1988,22,22,22,22,22,22,22,22,22,22
10180,1988,0,0,0,0,0,0,0,0,0,0
10181,1988,1,1,1,1,1,1,1,1,1,1
10182,1988,0,0,0,0,0,0,0,0,0,0
10183,1988,0,0,0,0,0,0,0,15,0,0
10184,1988,0,0,0,0,0,0,0,0,0,0
10185,1988,16,15,0,8,7,3,24,32,2,4
10186,1988,0,0,0,0,0,0,0,0,0,0
10187,1988,20,20,20,20,20,20,20,20,20,20
10188,1988,0,0,0,0,0,0,0,0,0,0
10189,1988,21,0,0,0,0,0,0,15,0,0
10190,1988,0,0,0,0,0,0,0,0,0,0
10191,1988,0,0,0,0,0,0,0,0,0,0
10192,1988,16,16,16,16,16,16,16,16,16,16
10193,1988,0,0,0,0,0,0,0,0,0,0
10194,1988,10,0,0,0,7,0,13,0,18,0
10195,1988,15,15,15,15,15,15,15,15,15,15
10196,1988,0,0,0,0,0,0,0,0,0,0
10197,1988,23,23,23,23,23,23,27,23,23,23
10198,1988,0,0,0,0,0,0,0,0,0,0
10199,1988,4,24,17,13,0,29,28,13,15,3
10200,1988,25,25,25,25,25,25,25,25,25,25
10201,1988,0,0,0,0,0,0,0,0,0,0
10202,1988,0,0,0,0,0,0,0,0,0,0
10203,1988,22,22,22,22,22,22,22,22,22,22
10204,1988,11,7,11,22,15,20,34,17,11,11
10205,1988,17,17,17,17,17,17,17,17,17,17
10206,1988,0,0,0,0,0,0,0,0,0,0
10207,1988,19,19,19,19,19,19,19,19,19,19
10208,1988,3,3,3,3,3,3,3,3,3,3
10209,1988,12,12,12,12,12,12,12,12,12,12
10210,1988,17,31,17,25,9,31,20,43,21,33
10211,1988,0,0,0,0,26,0,0,0,0,0
10212,1988,3,3,3,3,3,3,3,3,3,3
10213,1988,17,17,17,17,17,17,17,17,17,17
10214,1988,0,0,0,0,0,0,9,0,0,0
10215,1988,8,8,8,8,8,8,8,8,8,8
10216,1988,0,0,0,0,0,0,0,0,0,0
10217,1988,0,0,0,0,0,0,0,0,0,0
10218,1988,0,0,0,0,0,0,0,0,0,0
10219,1988,10,10,10,10,10,10,10,10,10,10
10220,1988,8,0,13,19,15,12,23,28,19,18
10221,1988,0,29,19,0,14,34,0,16,16,19
