ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10066,1,1,1988,0,0,0,0,0,0,0,0,26,0
10067,1,1,1988,6,0,0,0,8,0,0,0,3,0
10068,1,1,1988,0,0,13,0,10,0,0,4,0,3
10069,1,1,1988,0,13,0,0,0,0,0,0,0,0
10070,1,1,1988,0,0,0,0,0,0,0,0,0,0
10071,1,1,1988,0,0,0,0,0,0,0,0,0,0
10071,2,1,1988,0,0,0,0,0,0,0,0,0,0
10072,1,1,1988,0,0,10,0,0,0,0,0,0,0
10073,0,1,1988,26,26,26,26,26,26,26,26,26,26
10073,1,1,1988,21,21,21,21,21,21,21,21,21,21
10074,1,1,1988,0,0,0,0,0,0,0,0,0,0
10074,2,1,1988,0,0,0,0,0,0,0,0,0,0
10075,0,1,1988,0,0,0,0,0,0,0,0,0,28
10075,1,1,1988,0,0,0,0,0,0,0,0,0,0
10076,1,1,1988,0,0,0,0,0,0,0,0,0,0
10076,2,1,1988,0,0,0,0,0,0,0,0,0,0
10077,1,1,1988,0,0,0,0,0,0,0,0,0,0
10077,2,1,1988,0,0,0,0,20,10,0,14,0,0
10078,1,1,1988,0,0,0,0,0,0,0,0,0,0
10078,2,1,1988,0,0,0,0,0,0,0,0,0,0
10079,1,1,1988,8,5,0,0,0,0,0,0,0,0
10079,2,1,1988,0,0,0,0,0,0,0,0,0,0
10080,1,1,1988,0,0,0,0,0,19,0,0,0,0
10080,2,1,1988,0,0,0,0,0,0,0,0,0,0
10081,1,1,1988,0,0,0,0,0,0,0,0,0,0
10082,1,1,1988,33,0,3,31,0,29,0,16,35,20
10083,1,1,1988,22,22,22,22,22,22,22,22,22,22
10084,1,1,1988,19,23,17,23,17,17,15,7,17,22
10085,1,1,1988,9,10,17,13,7,14,25,17,20,15
10086,1,1,1988,6,18,15,0,0,0,12,0,13,12
10086,2,1,1988,0,0,0,0,0,0,11,0,0,0
10086,3,1,1988,0,0,0,0,0,0,0,0,0,0
10087,1,1,1988,0,0,0,0,0,0,0,0,0,0
10087,2,1,1988,0,0,0,0,15,0,24,0,0,0
10088,0,1,1988,0,0,0,0,0,0,0,0,0,0
10088,1,1,1988,0,0,0,0,0,0,0,0,0,0
10089,1,1,1988,0,0,0,0,0,0,0,0,0,0
10089,2,1,1988,0,0,0,0,0,0,0,0,0,0
10090,0,1,1988,25,25,25,25,25,25,25,25,25,25
10090,1,1,1988,0,0,12,0,0,0,5,0,0,0
10091,1,1,1988,0,0,0,0,0,0,0,0,0,0
10092,1,1,1988,18,20,18,11,27,36,28,14,0,18
10094,1,1,1988,0,0,0,0,0,0,0,0,0,0
10094,2,1,1988,0,0,0,0,0,0,15,0,0,0
10095,1,1,1988,0,0,0,0,0,0,0,0,0,0
10096,1,1,1988,0,0,0,0,0,0,0,0,0,0
10096,2,1,1988,21,21,21,21,21,21,21,21,21,21
10097,1,1,1988,24,24,24,24,24,24,24,24,24,24
10098,1,1,1988,5,5,5,5,5,5,5,5,5,5
10099,1,1,1988,0,0,0,0,0,0,0,0,0,0
10099,2,1,1988,0,0,0,0,0,0,0,0,0,0
10099,3,1,1988,0,0,0,0,0,0,0,0,0,0
10100,1,1,1988,17,17,17,17,17,17,17,17,17,17
